/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:4.5 CYCLES:261 ICOUNT:58 IHITRATE: 85.3 DHITRATE: 22.9
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:2.4 CYCLES:2475 ICOUNT:1035 IHITRATE: 97.8 DHITRATE: 77.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:2.3 CYCLES:2387 ICOUNT:1035 IHITRATE: 97.7 DHITRATE: 85.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.2 CYCLES:2291 ICOUNT:1035 IHITRATE: 97.6 DHITRATE: 96.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:2.3 CYCLES:2363 ICOUNT:1035 IHITRATE: 97.7 DHITRATE: 87.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:2.4 CYCLES:2459 ICOUNT:1035 IHITRATE: 97.8 DHITRATE: 78.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:2.4 CYCLES:2475 ICOUNT:1035 IHITRATE: 97.8 DHITRATE: 77.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:2.4 CYCLES:2467 ICOUNT:1035 IHITRATE: 97.8 DHITRATE: 77.9
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:2.4 CYCLES:2515 ICOUNT:1035 IHITRATE: 97.9 DHITRATE: 74.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:2.3 CYCLES:2395 ICOUNT:1035 IHITRATE: 97.7 DHITRATE: 84.2
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:2.3 CYCLES:2379 ICOUNT:1035 IHITRATE: 97.7 DHITRATE: 85.8
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:2.4 CYCLES:2475 ICOUNT:1035 IHITRATE: 97.8 DHITRATE: 77.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:2.3 CYCLES:2387 ICOUNT:1035 IHITRATE: 97.7 DHITRATE: 85.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:2.2 CYCLES:2291 ICOUNT:1035 IHITRATE: 97.6 DHITRATE: 96.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:2.3 CYCLES:2363 ICOUNT:1035 IHITRATE: 97.7 DHITRATE: 87.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:2.4 CYCLES:2459 ICOUNT:1035 IHITRATE: 97.8 DHITRATE: 78.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:2.4 CYCLES:2475 ICOUNT:1035 IHITRATE: 97.8 DHITRATE: 77.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:2.4 CYCLES:2467 ICOUNT:1035 IHITRATE: 97.8 DHITRATE: 77.9
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:2.4 CYCLES:2515 ICOUNT:1035 IHITRATE: 97.9 DHITRATE: 74.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:2.3 CYCLES:2395 ICOUNT:1035 IHITRATE: 97.7 DHITRATE: 84.2
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:2.3 CYCLES:2379 ICOUNT:1035 IHITRATE: 97.7 DHITRATE: 85.8
